title,abstract
Drug delivery and nanoparticles:applications and hazards.,"The use of nanotechnology in medicine and more specifically drug delivery is set to spread rapidly. Currently many substances are under investigation for drug delivery and more specifically for cancer therapy. Interestingly pharmaceutical sciences are using nanoparticles to reduce toxicity and side effects of drugs and up to recently did not realize that carrier systems themselves may impose risks to the patient. The kind of hazards that are introduced by using nanoparticles for drug delivery are beyond that posed by conventional hazards imposed by chemicals in classical delivery matrices. For nanoparticles the knowledge on particle toxicity as obtained in inhalation toxicity shows the way how to investigate the potential hazards of nanoparticles. The toxicology of particulate matter differs from toxicology of substances as the composing chemical(s) may or may not be soluble in biological matrices, thus influencing greatly the potential exposure of various internal organs. This may vary from a rather high local exposure in the lungs and a low or neglectable exposure for other organ systems after inhalation. However, absorbed species may also influence the potential toxicity of the inhaled particles. For nanoparticles the situation is different as their size opens the potential for crossing the various biological barriers within the body. From a positive viewpoint, especially the potential to cross the blood brain barrier may open new ways for drug delivery into the brain. In addition, the nanosize also allows for access into the cell and various cellular compartments including the nucleus. A multitude of substances are currently under investigation for the preparation of nanoparticles for drug delivery, varying from biological substances like albumin, gelatine and phospholipids for liposomes, and more substances of a chemical nature like various polymers and solid metal containing nanoparticles. It is obvious that the potential interaction with tissues and cells, and the potential toxicity, greatly depends on the actual composition of the nanoparticle formulation. This paper provides an overview on some of the currently used systems for drug delivery. Besides the potential beneficial use also attention is drawn to the questions how we should proceed with the safety evaluation of the nanoparticle formulations for drug delivery. For such testing the lessons learned from particle toxicity as applied in inhalation toxicology may be of use. Although for pharmaceutical use the current requirements seem to be adequate to detect most of the adverse effects of nanoparticle formulations, it can not be expected that all aspects of nanoparticle toxicology will be detected. So, probably additional more specific testing would be needed."
Engineering precision nanoparticles for drug delivery.,"In recent years, the development of nanoparticles has expanded into a broad range of clinical applications. Nanoparticles have been developed to overcome the limitations of free therapeutics and navigate biological barriers - systemic, microenvironmental and cellular - that are heterogeneous across patient populations and diseases. Overcoming this patient heterogeneity has also been accomplished through precision therapeutics, in which personalized interventions have enhanced therapeutic efficacy. However, nanoparticle development continues to focus on optimizing delivery platforms with a one-size-fits-all solution. As lipid-based, polymeric and inorganic nanoparticles are engineered in increasingly specified ways, they can begin to be optimized for drug delivery in a more personalized manner, entering the era of precision medicine. In this Review, we discuss advanced nanoparticle designs utilized in both non-personalized and precision applications that could be applied to improve precision therapies. We focus on advances in nanoparticle design that overcome heterogeneous barriers to delivery, arguing that intelligent nanoparticle design can improve efficacy in general delivery applications while enabling tailored designs for precision applications, thereby ultimately improving patient outcome overall."
Polymeric Nanoparticles for Drug Delivery.,"The recent emergence of nanomedicine has revolutionized the therapeutic landscape and necessitated the creation of more sophisticated drug delivery systems. Polymeric nanoparticles sit at the forefront of numerous promising drug delivery designs, due to their unmatched control over physiochemical properties such as size, shape, architecture, charge, and surface functionality. Furthermore, polymeric nanoparticles have the ability to navigate various biological barriers to precisely target specific sites within the body, encapsulate a diverse range of therapeutic cargo and efficiently release this cargo in response to internal and external stimuli. However, despite these remarkable advantages, the presence of polymeric nanoparticles in wider clinical application is minimal. This review will provide a comprehensive understanding of polymeric nanoparticles as drug delivery vehicles. The biological barriers affecting drug delivery will be outlined first, followed by a comprehensive description of the various nanoparticle designs and preparation methods, beginning with the polymers on which they are based. The review will meticulously explore the current performance of polymeric nanoparticles against a myriad of diseases including cancer, viral and bacterial infections, before finally evaluating the advantages and crucial challenges that will determine their wider clinical potential in the decades to come."
Drug-delivery nanoparticles for bone-tissue and dental applications.,"The use of nanoparticles as biomaterials with applications in the biomedical field is growing every day. These nanomaterials can be used as contrast imaging agents, combination therapy agents, and targeted delivery systems in medicine and dentistry. Usually, nanoparticles are found as synthetic or natural organic materials, such as hydroxyapatite, polymers, and lipids. Besides that, they are could also be inorganic, for instance, metallic or metal-oxide-based particles. These inorganic nanoparticles could additionally present magnetic properties, such as superparamagnetic iron oxide nanoparticles. The use of nanoparticles as drug delivery agents has many advantages, for they help diminish toxicity effects in the body since the drug dose reduces significantly, increases drugs biocompatibility, and helps target drugs to specific organs. As targeted-delivery agents, one of the applications uses nanoparticles as drug delivery particles for bone-tissue to treat cancer, osteoporosis, bone diseases, and dental treatments such as periodontitis. Their application as drug delivery agents requires a good comprehension of the nanoparticle properties and composition, alongside their synthesis and drug attachment characteristics. Properties such as size, shape, core-shell designs, and magnetic characteristics can influence their behavior inside the human body and modify magnetic properties in the case of magnetic nanoparticles. Based on that, many different studies have modified the synthesis methods for these nanoparticles and developed composite systems for therapeutics delivery, adapting, and improving magnetic properties, shell-core designs, and particle size and nanosystems characteristics. This review presents the most recent studies that have been presented with different nanoparticle types and structures for bone and dental drug delivery."
Nano-drug co-delivery system of natural active ingredients and chemotherapy drugs for cancer treatment: a review.,"Chemotherapy drugs have been used for a long time in the treatment of cancer, but serious side effects are caused by the inability of the drug to be solely delivered to the tumor when treating cancer with chemotherapy. Natural products have attracted more and more attention due to the antitumor effect in multiple ways, abundant resources and less side effects. Therefore, the combination of natural active ingredients and chemotherapy drugs may be an effective antitumor strategy, which can inhibit the growth of tumor and multidrug resistance, reduce side effects of chemotherapy drugs. Nano-drug co-delivery system (NDCDS) can play an important role in the combination of natural active ingredients and chemotherapy drugs. This review provides a comprehensive summary of the research status and application prospect of nano-delivery strategies for the combination of natural active ingredients and chemotherapy drugs, aiming to provide a basis for the development of anti-tumor drugs."
Gold nanoparticles for skin drug delivery.,"Nanoparticle-based drug carriers are being pursued intensely to overcome the skin barrier and improve even hydrophilic or macromolecular drug delivery into or across the skin efficiently. Over the past few years, the application of gold nanoparticles as a novel kind of drug carrier for skin drug delivery has attracted increasing attention because of their unique properties and versatility. In this review, we summarized the possible factors contributing to the penetration behaviors of gold nanoparticles, including size, surface chemistry, and shape. Drug loading, release, and penetration patterns were captured towards implicating the design of gold nanoparticles for dermal or transdermal drug delivery. Physical methods applicable for future enhancing the delivery efficacy of GNPs were also presented, which mainly included microneedles and iontophoresis. As a promising ""drug"", the inherent activities of GNPs were finally discussed, especially regarding their application in the treatment of skin disease. Thus, this paper provided a comprehensive review of the use of gold nanoparticles for skin drug delivery, which would help the design of multifunctional systems for skin drug delivery based on gold nanoparticles."
Nano-based drug delivery system for therapeutics: a comprehensive review.,"Nanomedicine and nano-delivery systems hold unlimited potential in the developing sciences, where nanoscale carriers are employed to efficiently deliver therapeutic drugs at specifically targeted sites in a controlled manner, imparting several advantages concerning improved efficacy and minimizing adverse drug reactions. These nano-delivery systems target-oriented delivery of drugs with precision at several site-specific, with mild toxicity, prolonged circulation time, high solubility, and long retention time in the biological system, which circumvent the problems associated with the conventional delivery approach. Recently, nanocarriers such as dendrimers, liposomes, nanotubes, and nanoparticles have been extensively investigated through structural characteristics, size manipulation, and selective diagnosis through disease imaging molecules, which are very effective and introduce a new paradigm shift in drugs. In this review, the use of nanomedicines in drug delivery has been demonstrated in treating various diseases with significant advances and applications in different fields. In addition, this review discusses the current challenges and future directions for research in these promising fields as well."
Novel Drug and Gene Delivery System and Imaging Agent Based on Marine Diatom Biosilica Nanoparticles.,"Mesoporous silica nanoparticles (MSNs) have great potential for applications as a drug delivery system (DDS) due to their unique properties such as large pore size, high surface area, biocompatibility, biodegradability, and stable aqueous dispersion. The MSN-mediated DDS can carry chemotherapeutic agents, optical sensors, photothermal agents, short interfering RNA (siRNA), and gene therapeutic agents. The MSN-assisted imaging techniques are applicable in cancer diagnosis. However, their synthesis via a chemical route requires toxic chemicals and is challenging, time-consuming, and energy-intensive, making the process expensive and non-viable. Fortunately, nature has provided a viable alternative material in the form of biosilica from marine resources. In this review, the applications of biosilica nanoparticles synthesized from marine diatoms in the field of drug delivery, biosensing, imaging agents, and regenerative medicine, are highlighted. Insights into the use of biosilica in the field of DDSs are elaborated, with a focus on different strategies to improve the physico-chemical properties with regards to drug loading and release efficiency, targeted delivery, and site-specific binding capacity by surface functionalization. The limitations, as well as the future scope to develop them as potential drug delivery vehicles and imaging agents, in the overall therapeutic management, are discussed."
"Protein-based Nanoparticles: From Drug Delivery to Imaging, Nanocatalysis and Protein Therapy.","Proteins and enzymes are versatile biomaterials for a wide range of medical applications due to their high specificity for receptors and substrates, high degradability, low toxicity, and overall good biocompatibility. Protein nanoparticles are formed by the arrangement of several native or modified proteins into nanometer-sized assemblies. In this review, we will focus on artificial nanoparticle systems, where proteins are the main structural element and not just an encapsulated payload. While under natural conditions, only certain proteins form defined aggregates and nanoparticles, chemical modifications or a change in the physical environment can further extend the pool of available building blocks. This allows the assembly of many globular proteins and even enzymes. These advances in preparation methods led to the emergence of new generations of nanosystems that extend beyond transport vehicles to diverse applications, from multifunctional drug delivery to imaging, nanocatalysis and protein therapy."
"Shear-, Sound-, and Light-Sensitive Nanoparticles for Thrombolytic Drug Delivery.","Thrombotic diseases, as potentially induced by blood clots or vascular embolization, frequently occur with high rates of mortalities worldwide. Current drug thrombolysis, a primary clinical therapy, may increase fatal risk of hemorrhage when thrombolysis agents become systemically distributed. Given current thrombolysis limitations, some novel drug delivery systems based on nanoparticles have been recently exploited to achieve a more controlled release of loaded thrombolytic agents, able to respond to environmental changes, and resulting in a safer thrombolysis. In this review, the authors outline and discuss some prominent examples of early and recent thrombolytic agent delivery systems using controlled release by physical stimuli (shear, sound and light). Shear-sensitive systems are designed to exploit the specific biomechanical feature of thrombosis, that is, the increased blood shear stress. Sound- and light-sensitive systems reflect ""remote control"" of drug release by responding to external ultrasound or light stimulus. These smart thrombolytic drug delivery systems hold promise for more effective and safer future thrombolytic therapy."
